Regex,Length alphabet,Description,L Membership queries,NL Membership queries,L Equivalence queries,NL Equivalence queries,L State nb in A,NL State nb in A,L Transition nb in A,NL Transition nb in A
1/0.ba,2,0,3,3,1,1,1,1,2,2
1/1.ba,2,1,3,3,1,1,1,1,2,2
1/10.ba,2,2,3,3,1,1,1,1,2,2
1/11.ba,2,3,3,3,1,1,1,1,2,2
1/12.ba,2,4,3,3,1,1,1,1,2,2
1/13.ba,2,5,3,3,1,1,1,1,2,2
1/14.ba,2,6,3,3,1,1,1,1,2,2
1/15.ba,2,7,3,3,1,1,1,1,2,2
1/16.ba,2,8,3,3,1,1,1,1,2,2
1/17.ba,2,9,3,3,1,1,1,1,2,2
1/18.ba,2,10,3,3,1,1,1,1,2,2
1/19.ba,2,11,3,3,1,1,1,1,2,2
1/2.ba,2,12,3,3,1,1,1,1,2,2
1/20.ba,2,13,3,3,1,1,1,1,2,2
1/21.ba,2,14,3,3,1,1,1,1,2,2
1/22.ba,2,15,3,3,1,1,1,1,2,2
1/23.ba,2,16,3,3,1,1,1,1,2,2
1/24.ba,2,17,3,3,1,1,1,1,2,2
1/25.ba,2,18,3,3,1,1,1,1,2,2
1/26.ba,2,19,3,3,1,1,1,1,2,2
1/27.ba,2,20,3,3,1,1,1,1,2,2
1/28.ba,2,21,3,3,1,1,1,1,2,2
1/29.ba,2,22,3,3,1,1,1,1,2,2
1/3.ba,2,23,3,3,1,1,1,1,2,2
1/30.ba,2,24,3,3,1,1,1,1,2,2
1/31.ba,2,25,3,3,1,1,1,1,2,2
1/32.ba,2,26,3,3,1,1,1,1,2,2
1/33.ba,2,27,3,3,1,1,1,1,2,2
1/34.ba,2,28,3,3,1,1,1,1,2,2
1/35.ba,2,29,3,3,1,1,1,1,2,2
1/36.ba,2,30,3,3,1,1,1,1,2,2
1/37.ba,2,31,3,3,1,1,1,1,2,2
1/38.ba,2,32,3,3,1,1,1,1,2,2
1/39.ba,2,33,3,3,1,1,1,1,2,2
1/4.ba,2,34,3,3,1,1,1,1,2,2
1/40.ba,2,35,3,3,1,1,1,1,2,2
1/5.ba,2,36,3,3,1,1,1,1,2,2
1/6.ba,2,37,3,3,1,1,1,1,2,2
1/7.ba,2,38,3,3,1,1,1,1,2,2
1/8.ba,2,39,3,3,1,1,1,1,2,2
1/9.ba,2,40,3,3,1,1,1,1,2,2
2/0.ba,2,41,5,11,1,2,2,2,4,4
2/1.ba,2,42,5,5,1,1,2,2,4,5
2/10.ba,2,43,5,11,1,2,2,2,4,4
2/11.ba,2,44,5,8,1,2,2,2,4,4
2/12.ba,2,45,5,11,1,2,2,2,4,4
2/13.ba,2,46,5,8,1,2,2,2,4,4
2/14.ba,2,47,5,11,1,2,2,2,4,4
2/15.ba,2,48,5,8,1,2,2,2,4,4
2/16.ba,2,49,5,8,1,2,2,2,4,4
2/17.ba,2,50,5,8,1,2,2,2,4,4
2/18.ba,2,51,5,8,1,2,2,2,4,4
2/19.ba,2,52,5,5,1,1,2,2,4,6
2/2.ba,2,53,5,11,1,2,2,2,4,4
2/20.ba,2,54,5,11,1,2,2,2,4,4
2/21.ba,2,55,5,11,1,2,2,2,4,4
2/22.ba,2,56,5,11,1,2,2,2,4,4
2/23.ba,2,57,5,8,1,2,2,2,4,4
2/24.ba,2,58,5,5,1,1,2,2,4,5
2/25.ba,2,59,5,5,1,1,2,2,4,5
2/26.ba,2,60,5,5,1,1,2,2,4,5
2/27.ba,2,61,5,8,1,2,2,2,4,4
2/28.ba,2,62,5,11,1,2,2,2,4,4
2/29.ba,2,63,5,5,1,1,2,2,4,5
2/3.ba,2,64,5,5,1,1,2,2,4,5
2/30.ba,2,65,5,5,1,1,2,2,4,6
2/31.ba,2,66,5,11,1,2,2,2,4,4
2/32.ba,2,67,5,5,1,1,2,2,4,5
2/33.ba,2,68,5,8,1,2,2,2,4,4
2/34.ba,2,69,5,11,1,2,2,2,4,4
2/35.ba,2,70,5,8,1,2,2,2,4,4
2/36.ba,2,71,5,11,1,2,2,2,4,4
2/37.ba,2,72,5,5,1,1,2,2,4,5
2/38.ba,2,73,5,5,1,1,2,2,4,7
2/39.ba,2,74,5,8,1,2,2,2,4,4
2/4.ba,2,75,5,5,1,1,2,2,4,5
2/40.ba,2,76,5,11,1,2,2,2,4,4
2/5.ba,2,77,5,5,1,1,2,2,4,7
2/6.ba,2,78,5,5,1,1,2,2,4,6
2/7.ba,2,79,5,11,1,2,2,2,4,4
2/8.ba,2,80,5,5,1,1,2,2,4,5
2/9.ba,2,81,5,8,1,2,2,2,4,4
3/0.ba,2,82,11,27,2,3,3,3,6,6
3/1.ba,2,83,14,15,2,2,3,3,6,10
3/10.ba,2,84,17,19,2,3,3,3,6,6
3/11.ba,2,85,11,15,2,2,3,3,6,8
3/12.ba,2,86,14,15,2,2,3,3,6,12
3/13.ba,2,87,14,15,2,2,3,3,6,9
3/14.ba,2,88,14,15,2,2,3,3,6,7
3/15.ba,2,89,14,15,2,2,3,3,6,8
3/16.ba,2,90,17,15,2,2,3,3,6,9
3/17.ba,2,91,14,27,2,3,3,3,6,6
3/18.ba,2,92,11,15,2,2,3,3,6,13
3/19.ba,2,93,14,31,2,4,3,3,6,6
3/2.ba,2,94,14,15,2,2,3,3,6,9
3/20.ba,2,95,17,19,2,2,3,3,6,6
3/21.ba,2,96,11,15,2,2,3,3,6,6
3/22.ba,2,97,11,15,2,2,3,3,6,6
3/23.ba,2,98,11,15,2,2,3,3,6,6
3/24.ba,2,99,11,15,2,2,3,3,6,6
3/25.ba,2,100,14,15,2,2,3,3,6,10
3/26.ba,2,101,11,27,2,3,3,3,6,8
3/27.ba,2,102,14,15,2,2,3,3,6,7
3/28.ba,2,103,14,31,2,3,3,3,6,6
3/29.ba,2,104,14,15,2,2,3,3,6,7
3/3.ba,2,105,20,19,2,3,3,3,6,6
3/30.ba,2,106,14,15,2,2,3,3,6,9
3/31.ba,2,107,17,15,2,2,3,3,6,8
3/32.ba,2,108,11,15,2,2,3,3,6,8
3/33.ba,2,109,20,27,2,3,3,3,6,6
3/34.ba,2,110,14,15,2,2,3,3,6,8
3/35.ba,2,111,20,27,2,3,3,3,6,6
3/36.ba,2,112,14,23,2,3,3,3,6,6
3/37.ba,2,113,14,15,2,2,3,3,6,7
3/38.ba,2,114,17,19,2,3,3,3,6,6
3/39.ba,2,115,17,23,2,4,3,3,6,6
3/4.ba,2,116,14,15,2,2,3,3,6,8
