Regex,Length alphabet,Description,L Membership queries,NL Membership queries,L Equivalence queries,NL Equivalence queries,L State nb in A,NL State nb in A,L Transition nb in A,NL Transition nb in A,L Closedness,NL Closedness,L Consistence,NL Consistence
Teacher with automaton, 0, 0, 1,1, 1,1, 1,1, 0,0, 0,0, 0,0
Teacher with automaton, 1, 1, 4,5, 2,2, 3,3, 3,4, 0,2, 1,0
Teacher with automaton, 2, 2, 46,40, 4,3, 6,6, 12,18, 1,5, 3,1
Teacher with automaton, 2, 3, 165,161, 6,4, 10,10, 20,35, 1,9, 7,2
Teacher with automaton, 2, 4, 293,281, 6,4, 14,14, 28,56, 1,13, 11,2
Teacher with automaton, 2, 5, 453,433, 6,4, 18,18, 36,81, 1,17, 15,2
Teacher with automaton, 2, 6, 645,617, 6,4, 22,22, 44,110, 1,21, 19,2
Teacher with automaton, 2, 7, 869,833, 6,4, 26,26, 52,143, 1,25, 23,2
Teacher with automaton, 2, 8, 1125,1081, 6,4, 30,30, 60,180, 1,29, 27,2
Teacher with automaton, 2, 9, 1413,1361, 6,4, 34,34, 68,221, 1,33, 31,2
Teacher with automaton, 2, 10, 1733,1673, 6,4, 38,38, 76,266, 1,37, 35,2
Teacher with automaton, 2, 11, 2085,2017, 6,4, 42,42, 84,315, 1,41, 39,2
Teacher with automaton, 2, 12, 2469,2393, 6,4, 46,46, 92,368, 1,45, 43,2
Teacher with automaton, 2, 13, 2885,2801, 6,4, 50,50, 100,425, 1,49, 47,2
Teacher with automaton, 2, 14, 3333,3241, 6,4, 54,54, 108,486, 1,53, 51,2
Teacher with automaton, 2, 15, 3813,3713, 6,4, 58,58, 116,551, 1,57, 55,2
Teacher with automaton, 2, 16, 4325,4217, 6,4, 62,62, 124,620, 1,61, 59,2
Teacher with automaton, 2, 17, 4869,4753, 6,4, 66,66, 132,693, 1,65, 63,2
Teacher with automaton, 2, 18, 5445,5321, 6,4, 70,70, 140,770, 1,69, 67,2
Teacher with automaton, 2, 19, 6053,5921, 6,4, 74,74, 148,851, 1,73, 71,2
